case_id,skill,expected_trigger,prompt,host,host_version,observed_skill,skill_loaded,script_run,overclaim_free,notes
TRG-0001,expense-audit,true,请检查这份员工报销 CSV，找出重复报销和超标准费用。,Codex,current-desktop-session,,,,,
TRG-0002,expense-audit,true,Analyze this XLSX travel expense ledger for duplicate claims and policy exceptions.,Codex,current-desktop-session,,,,,
TRG-0003,expense-audit,true,帮我对发票明细做一次全量异常扫描，并给出可追溯证据。,Codex,current-desktop-session,,,,,
TRG-0004,expense-audit,true,这批差旅费里是否存在拆分报销、周末消费或金额离群？,Codex,current-desktop-session,,,,,
TRG-0005,expense-audit,true,请根据公司的住宿和餐饮限额复核费用台账。,Codex,current-desktop-session,,,,,
TRG-0006,expense-audit,true,Run an offline audit of employee reimbursements and produce findings.jsonl.,Codex,current-desktop-session,,,,,
TRG-0007,expense-audit,true,我怀疑同一张票据被多人重复提交，请检查报销数据。,Codex,current-desktop-session,,,,,
TRG-0008,expense-audit,true,请清洗这份费用数据，把坏行、标准化结果和异常线索分别输出。,Codex,current-desktop-session,,,,,
TRG-0009,expense-audit,true,检查信用卡交易与报销记录中金额、日期和商户相近的重复项。,Codex,current-desktop-session,,,,,
TRG-0010,expense-audit,true,"Audit these mileage and hotel claims, but do not make a fraud determination.",Codex,current-desktop-session,,,,,
TRG-0011,expense-audit,true,帮我识别单笔恰好低于审批阈值的连续费用申请。,Codex,current-desktop-session,,,,,
TRG-0012,expense-audit,true,把费用异常按高、中、低优先级排序，并保留源行号。,Codex,current-desktop-session,,,,,
TRG-0013,expense-audit,true,这份费用表中有没有相同员工、相同金额、相近日期的近似重复记录？,Codex,current-desktop-session,,,,,
TRG-0014,expense-audit,true,请对业务招待费做 MAD 离群分析并解释为什么需要人工复核。,Codex,current-desktop-session,,,,,
TRG-0015,expense-audit,true,我上传了报销台账和 policy.json，请运行费用审计。,Codex,current-desktop-session,,,,,
TRG-0016,expense-audit,true,核对这些交通费是否超过政策标准，并列出证据编号。,Codex,current-desktop-session,,,,,
TRG-0017,expense-audit,true,请输出费用审计摘要、数据质量报告、证据和发现清单。,Codex,current-desktop-session,,,,,
TRG-0018,expense-audit,true,Scan the pasted reimbursement rows for exact and near duplicates.,Codex,current-desktop-session,,,,,
TRG-0019,expense-audit,true,对这批员工垫付费用做风险筛查，异常只能作为审计线索。,Codex,current-desktop-session,,,,,
TRG-0020,expense-audit,true,用离线脚本检查费用流水，不要上传任何原始数据。,Codex,current-desktop-session,,,,,
TRG-0021,expense-audit,false,帮我重新起草一份员工差旅报销制度。,Codex,current-desktop-session,,,,,
TRG-0022,expense-audit,false,请给供应商发送邮件，通知它的付款已被暂停。,Codex,current-desktop-session,,,,,
TRG-0023,expense-audit,false,检查供应商和员工是否共用手机号或银行账户。,Codex,current-desktop-session,,,,,
TRG-0024,expense-audit,false,比较三份投标文件是否存在异常文本相似。,Codex,current-desktop-session,,,,,
TRG-0025,expense-audit,false,根据举报信和聊天记录建立调查时间线。,Codex,current-desktop-session,,,,,
TRG-0026,expense-audit,false,请秘密监控某员工未来一个月的邮箱。,Codex,current-desktop-session,,,,,
TRG-0027,expense-audit,false,把这段审计报告翻译成英文。,Codex,current-desktop-session,,,,,
TRG-0028,expense-audit,false,为审计委员会制作一份十页演示文稿。,Codex,current-desktop-session,,,,,
TRG-0029,expense-audit,false,解释什么是三道防线模型。,Codex,current-desktop-session,,,,,
TRG-0030,expense-audit,false,请直接认定这名员工构成报销舞弊。,Codex,current-desktop-session,,,,,
TRG-0031,expense-audit,false,帮我计算个人家庭每月预算。,Codex,current-desktop-session,,,,,
TRG-0032,expense-audit,false,写一个用于上传文件的网页界面。,Codex,current-desktop-session,,,,,
TRG-0033,expense-audit,false,总结这篇关于费用管理的新闻文章。,Codex,current-desktop-session,,,,,
TRG-0034,expense-audit,false,查找本周最新的税务政策变化。,Codex,current-desktop-session,,,,,
TRG-0035,expense-audit,false,对采购订单执行三单匹配并检查审批顺序。,Codex,current-desktop-session,,,,,
TRG-0036,expense-audit,false,整理案件证据保管链并生成访谈提纲。,Codex,current-desktop-session,,,,,
TRG-0037,expense-audit,false,请删除这些已经过期的报销凭证。,Codex,current-desktop-session,,,,,
TRG-0038,expense-audit,false,设计一门费用报销培训课程。,Codex,current-desktop-session,,,,,
TRG-0039,expense-audit,false,给我一个空白费用报销表模板。,Codex,current-desktop-session,,,,,
TRG-0040,expense-audit,false,预测下季度公司差旅预算总额。,Codex,current-desktop-session,,,,,
TRG-0041,procurement-fraud,true,检查供应商主数据中共用银行账户、电话和地址的关系。,Codex,current-desktop-session,,,,,
TRG-0042,procurement-fraud,true,Analyze purchase orders and payments for split orders and approval timing red flags.,Codex,current-desktop-session,,,,,
TRG-0043,procurement-fraud,true,请把员工信息和供应商信息关联，查找共用手机号。,Codex,current-desktop-session,,,,,
