finding_id,finding_type,title,risk_priority,evidence_strength,risk_score,entities,evidence_refs
PROC-000001,shared-bank-account,多个供应商共享bank_account,high,strong,4,"[{""type"": ""vendor"", ""id"": ""V001""}, {""type"": ""vendor"", ""id"": ""V002""}]",EV-000001|EV-000002|EV-000003|EV-000004
PROC-000002,employee-vendor-shared-phone,员工与供应商共享phone,medium,strong,3,"[{""type"": ""employee"", ""id"": ""E001""}, {""type"": ""vendor"", ""id"": ""V001""}]",EV-000005|EV-000006|EV-000001|EV-000007
PROC-000003,price-outlier,同类采购单价显著高于 peer group,medium,moderate,2,"[{""type"": ""vendor"", ""id"": ""V001""}, {""type"": ""buyer"", ""id"": ""B001""}]",EV-000008|EV-000009|EV-000010|EV-000011|EV-000012|EV-000013
PROC-000004,split-order,短期多笔采购合计超过审批阈值,medium,moderate,3,"[{""type"": ""vendor"", ""id"": ""V001""}, {""type"": ""buyer"", ""id"": ""B900""}]",EV-000014|EV-000015|EV-000016|EV-000017|EV-000018|EV-000019|EV-000020|EV-000021|EV-000022|EV-000023|EV-000024|EV-000025
PROC-000005,process-order-before-approval,采购订单日期早于审批完成日期,medium,strong,2,"[{""type"": ""vendor"", ""id"": ""V001""}, {""type"": ""buyer"", ""id"": ""B900""}]",EV-000026|EV-000027|EV-000028
PROC-000006,process-receipt-before-order,收货日期早于采购订单日期,medium,strong,2,"[{""type"": ""vendor"", ""id"": ""V001""}, {""type"": ""buyer"", ""id"": ""B900""}]",EV-000026|EV-000029|EV-000027
PROC-000007,process-payment-before-approval,付款日期早于采购审批完成日期,medium,strong,3,"[{""type"": ""vendor"", ""id"": ""V001""}, {""type"": ""buyer"", ""id"": ""B900""}]",EV-000030|EV-000031|EV-000032|EV-000033|EV-000026|EV-000028
PROC-000008,buyer-vendor-concentration,采购员对单一供应商的金额集中度较高,low,moderate,1,"[{""type"": ""vendor"", ""id"": ""V001""}, {""type"": ""buyer"", ""id"": ""B900""}]",EV-000014|EV-000015|EV-000016|EV-000018|EV-000020|EV-000021|EV-000022|EV-000024|EV-000026|EV-000034|EV-000035|EV-000036
PROC-000009,bid-text-similarity,同一标段投标文本高度相似，需回到原文复核,medium,moderate,2,"[{""type"": ""vendor"", ""id"": ""V001""}, {""type"": ""lot"", ""id"": ""L-001""}, {""type"": ""vendor"", ""id"": ""V002""}]",EV-000037|EV-000038|EV-000039|EV-000040|EV-000041|EV-000042|EV-000043|EV-000044|EV-000045|EV-000046
PROC-000010,bid-price-pattern,同一标段多家报价异常接近,low,moderate,1,"[{""type"": ""vendor"", ""id"": ""V001""}, {""type"": ""lot"", ""id"": ""L-002""}, {""type"": ""vendor"", ""id"": ""V003""}, {""type"": ""vendor"", ""id"": ""V004""}]",EV-000047|EV-000048|EV-000049|EV-000050|EV-000051|EV-000052|EV-000053|EV-000054|EV-000055|EV-000056|EV-000057|EV-000058
