finding_id,finding_type,title,risk_priority,evidence_strength,risk_score,entities,evidence_refs
EXP-000001,exact-duplicate-invoice,发票号与金额重复，需核对是否重复报销,high,strong,4,"[{""type"": ""employee"", ""id"": ""E001""}, {""type"": ""vendor"", ""id"": ""星海酒店""}]",EV-000001|EV-000002|EV-000003|EV-000004|EV-000005|EV-000006
EXP-000002,exact-duplicate-employee-date-amount,同员工同日同金额记录重复,medium,moderate,3,"[{""type"": ""employee"", ""id"": ""E001""}, {""type"": ""vendor"", ""id"": ""星海酒店""}]",EV-000001|EV-000007|EV-000008|EV-000003|EV-000009|EV-000004|EV-000010|EV-000011|EV-000006|EV-000012
EXP-000003,near-duplicate,同员工同商户短期内出现近似金额,medium,moderate,2,"[{""type"": ""employee"", ""id"": ""E001""}, {""type"": ""vendor"", ""id"": ""星海酒店""}]",EV-000001|EV-000007|EV-000008|EV-000009|EV-000003|EV-000002|EV-000013|EV-000014|EV-000015|EV-000016|EV-000017|EV-000018
EXP-000004,near-duplicate,同员工同商户短期内出现近似金额,medium,moderate,2,"[{""type"": ""employee"", ""id"": ""E001""}, {""type"": ""vendor"", ""id"": ""星海酒店""}]",EV-000004|EV-000010|EV-000011|EV-000012|EV-000006|EV-000005|EV-000013|EV-000014|EV-000015|EV-000016|EV-000017|EV-000018
EXP-000005,near-duplicate,同员工同商户短期内出现近似金额,medium,moderate,2,"[{""type"": ""employee"", ""id"": ""E003""}, {""type"": ""vendor"", ""id"": ""园区餐厅""}]",EV-000019|EV-000020|EV-000021|EV-000022|EV-000023|EV-000024|EV-000025|EV-000026|EV-000027|EV-000028|EV-000029|EV-000030
EXP-000006,near-duplicate,同员工同商户短期内出现近似金额,medium,moderate,2,"[{""type"": ""employee"", ""id"": ""E003""}, {""type"": ""vendor"", ""id"": ""园区餐厅""}]",EV-000019|EV-000020|EV-000021|EV-000022|EV-000023|EV-000024|EV-000031|EV-000032|EV-000033|EV-000034|EV-000035|EV-000036
EXP-000007,near-duplicate,同员工同商户短期内出现近似金额,medium,moderate,2,"[{""type"": ""employee"", ""id"": ""E003""}, {""type"": ""vendor"", ""id"": ""园区餐厅""}]",EV-000037|EV-000038|EV-000039|EV-000040|EV-000041|EV-000042|EV-000043|EV-000044|EV-000045|EV-000046|EV-000047|EV-000048
EXP-000008,near-duplicate,同员工同商户短期内出现近似金额,medium,moderate,2,"[{""type"": ""employee"", ""id"": ""E003""}, {""type"": ""vendor"", ""id"": ""园区餐厅""}]",EV-000025|EV-000026|EV-000027|EV-000028|EV-000029|EV-000030|EV-000043|EV-000044|EV-000045|EV-000046|EV-000047|EV-000048
EXP-000009,policy-threshold,费用金额超过适用制度上限,medium,strong,3,"[{""type"": ""employee"", ""id"": ""E001""}, {""type"": ""vendor"", ""id"": ""星海酒店""}]",EV-000001|EV-000049|EV-000003|EV-000050
EXP-000010,policy-threshold,费用金额超过适用制度上限,medium,strong,3,"[{""type"": ""employee"", ""id"": ""E001""}, {""type"": ""vendor"", ""id"": ""星海酒店""}]",EV-000004|EV-000051|EV-000006|EV-000052
EXP-000011,policy-threshold,费用金额超过适用制度上限,medium,strong,3,"[{""type"": ""employee"", ""id"": ""E001""}, {""type"": ""vendor"", ""id"": ""星海酒店""}]",EV-000013|EV-000053|EV-000017|EV-000054
EXP-000012,split-expense,短期多笔费用合计超过审批阈值,medium,moderate,3,"[{""type"": ""employee"", ""id"": ""E002""}, {""type"": ""vendor"", ""id"": ""文具中心""}]",EV-000055|EV-000056|EV-000057|EV-000058|EV-000059|EV-000060|EV-000061|EV-000062|EV-000063|EV-000064
EXP-000013,weekend-signal,费用发生在周末，需结合业务安排解释,low,weak,1,"[{""type"": ""employee"", ""id"": ""E003""}, {""type"": ""vendor"", ""id"": ""园区餐厅""}]",EV-000025|EV-000027|EV-000065
EXP-000014,weekend-signal,费用发生在周末，需结合业务安排解释,low,weak,1,"[{""type"": ""employee"", ""id"": ""E004""}, {""type"": ""vendor"", ""id"": ""铁路平台""}]",EV-000066|EV-000067|EV-000068
EXP-000015,robust-outlier,同类费用中的高额稳健统计离群点,medium,moderate,2,"[{""type"": ""employee"", ""id"": ""E003""}, {""type"": ""vendor"", ""id"": ""高端餐厅""}]",EV-000069|EV-000070|EV-000071|EV-000072
