expense_id,employee_id,department,expense_type,expense_date,submit_date,amount,currency,vendor_name,invoice_number,invoice_date,project_code,approver,payment_date,business_purpose,_source_row,_source_sheet
EXP-001,E001,销售,hotel,2026-06-01,2026-06-03,920.0,CNY,星海酒店,INV-1001,,P-A,A100,,客户拜访住宿,2,
EXP-002,E001,销售,hotel,2026-06-01,2026-06-04,920.0,CNY,星海酒店,INV-1001,,P-A,A100,,重复提交测试,3,
EXP-003,E001,销售,hotel,2026-06-02,2026-06-05,910.0,CNY,星海酒店,,,P-A,A100,,近似重复测试,4,
EXP-004,E002,采购,office,2026-06-10,2026-06-10,480.0,CNY,文具中心,OFF-001,,P-B,A200,,办公用品第一批,5,
EXP-005,E002,采购,office,2026-06-11,2026-06-11,470.0,CNY,文具中心,OFF-002,,P-B,A200,,办公用品第二批,6,
EXP-006,E003,研发,meal,2026-06-03,2026-06-03,52.0,CNY,园区餐厅,M-001,,P-C,A300,,加班餐,7,
EXP-007,E003,研发,meal,2026-06-04,2026-06-04,55.0,CNY,园区餐厅,M-002,,P-C,A300,,加班餐,8,
EXP-008,E003,研发,meal,2026-06-05,2026-06-05,49.0,CNY,园区餐厅,M-003,,P-C,A300,,加班餐,9,
EXP-009,E003,研发,meal,2026-06-06,2026-06-06,53.0,CNY,园区餐厅,M-004,,P-C,A300,,周末项目值班餐,10,
EXP-010,E003,研发,meal,2026-06-08,2026-06-08,51.0,CNY,园区餐厅,M-005,,P-C,A300,,加班餐,11,
EXP-011,E003,研发,meal,2026-06-09,2026-06-09,54.0,CNY,园区餐厅,M-006,,P-C,A300,,加班餐,12,
EXP-012,E003,研发,meal,2026-06-10,2026-06-10,500.0,CNY,高端餐厅,M-007,,P-C,A300,,团队会议餐,13,
EXP-013,E004,服务,travel,2026-06-07,2026-06-08,300.0,CNY,铁路平台,T-001,,P-D,A400,,周末客户现场支持,14,
EXP-014,E005,财务,taxi,2026-06-12,2026-06-12,1200.0,CNY,城市出行,TAXI-001,,P-E,A500,,机场接送,15,
