case_id,target_skill,expected_trigger,prompt,observed_skill,result,notes
LRS-E-P01,expense-audit,true,"请清洗这份费用数据，把坏行、标准化结果和异常线索分别输出。",none,fail,"未读取 expense-audit；搜索工作目录后要求用户提供文件。"
LRS-E-N01,expense-audit,false,"帮我重新起草一份员工差旅报销制度。",none,pass,"未触发 expense-audit；改用文档能力起草制度。"
LRS-P-P01,procurement-fraud,true,"检查供应商主数据中共用银行账户、电话和地址的关系。",procurement-fraud,"pass-route/fail-behavior","正确读取 procurement-fraud，但在缺少本次输入时搜索并复用历史标准化文件，还把白名单共享地址手工列为异常。"
LRS-P-N01,procurement-fraud,false,"帮我写一份新供应商准入管理制度。",none,pass,"未触发 procurement-fraud；仅起草制度。"
LRS-I-P01,investigation-assistant,true,"我已获得授权，请把举报信、聊天记录和系统日志整理成调查工作空间。",investigation-assistant,pass,"正确读取 investigation-assistant，并因本次未提供范围文件和材料而停止、请求补充。"
LRS-I-N01,investigation-assistant,false,"解释证据保管链这个概念，但不处理任何案件材料。",none,pass,"未触发 investigation-assistant；仅解释概念。"
LRS-E-P01-R1,expense-audit,true,"请清洗这份费用数据，把坏行、标准化结果和异常线索分别输出。",none,fail,"0.1.1 与 0.1.0 并存安装后的定向复测；仍未读取 skill，搜索工作目录并复用了旧 expense_audit_output。该结果不能证明 0.1.1 本身无效，因为宿主存在同名双版本歧义。"
LRS-E-P01-R2,expense-audit,true,"请清洗这份费用数据，把坏行、标准化结果和异常线索分别输出。",expense-audit,pass,"清理旧版后复测；读取已安装 expense-audit-1/SKILL.md，没有搜索或复用历史输出，因缺少本次数据而停止并索取 CSV/Excel 或粘贴记录。"
LRS-E-N01-R1,expense-audit,false,"帮我重新起草一份员工差旅报销制度。",none,pass,"清理旧版后复测；未读取 expense-audit，转用 docx 能力。完成路由观察后停止任务，未计入内容质量。"
LRS-P-P01-R1,procurement-fraud,true,"检查供应商主数据中共用银行账户、电话和地址的关系。",procurement-fraud,pass,"清理旧版后复测；读取已安装 procurement-fraud-1/SKILL.md，未搜索或复用历史标准化表，因缺少本次数据而停止并索取文件或粘贴记录。"
LRS-P-N01-R1,procurement-fraud,false,"帮我写一份新供应商准入管理制度。",none,pass,"清理旧版后复测；未读取 procurement-fraud，转用 docx 能力。完成路由观察后停止任务，未计入内容质量。"
LRS-I-P01-R1,investigation-assistant,true,"我已获得授权，请把举报信、聊天记录和系统日志整理成调查工作空间。",investigation-assistant,"pass-route/fail-behavior","清理旧版后复测；正确读取 investigation-assistant-1/SKILL.md，但在索取 scope 和材料前执行 ls、浏览 skill examples 并读取包内 scope.json；最终虽停止且未运行案件脚本，仍违反输入来源限制。"
LRS-I-N01-R1,investigation-assistant,false,"解释证据保管链这个概念，但不处理任何案件材料。",none,pass,"清理旧版后复测；未读取 investigation-assistant，仅解释概念，没有处理材料。"
