po_id,vendor_id,buyer_id,category,item,unit,region,quantity,unit_price,total_amount,currency,order_date,approval_date,receipt_date
PO-2025-0001,V-001,E-101,机械加工件,碳钢法兰,件,华南,350,56,19600,CNY,2025-01-06,2025-01-07,2025-01-15
PO-2025-0002,V-001,E-101,机械加工件,碳钢异径管,件,华南,260,74,19240,CNY,2025-01-13,2025-01-14,2025-01-22
PO-2025-0003,V-002,E-101,机械加工件,碳钢三通接头,件,华南,220,88,19360,CNY,2025-01-20,2025-01-21,2025-01-28
PO-2025-0004,V-002,E-101,机械加工件,碳钢弯头,件,华南,300,65,19500,CNY,2025-01-27,2025-01-28,2025-02-04
PO-2025-0005,V-001,E-101,机械加工件,碳钢四通,件,华南,240,80,19200,CNY,2025-02-03,2025-02-04,2025-02-10
PO-2025-0006,V-003,E-101,原材料,Q235钢板,吨,华南,40,650,26000,CNY,2025-02-10,2025-02-12,2025-02-17
PO-2025-0007,V-003,E-102,原材料,Q235钢板,吨,华南,35,650,22750,CNY,2025-02-15,2025-02-16,2025-02-22
PO-2025-0008,V-004,E-101,标准件,六角螺栓M10,千件,华东,120,150,18000,CNY,2025-02-18,2025-02-19,2025-02-24
PO-2025-0009,V-005,E-102,电气元件,接触器,台,华东,60,310,18600,CNY,2025-02-20,2025-02-21,2025-02-27
PO-2025-0010,V-006,E-103,包装辅材,缠绕膜,卷,华东,500,36,18000,CNY,2025-02-22,2025-02-23,2025-03-01
